,user,word,description
0,4,кінь,"Парнокопитний, який був одним із перших одомашнених людьми. До його переваг належать швидкість, сила та витривалість."
1,4,зебра,"африканська тварина, зовнішність якої нагадує коней. Відмінною рисою є його колір, який складається з чорно-білих смуг."
2,4,корова,"вид парнокопитних копитних, основне використання яких переважно у виробництві молока. Рідко використовується суто для м’яса."
3,4,ведмідь,"всеїдна велика тварина, яка має дуже сильний територіальний характер. Залежно від типу клімату можна виділити як лісовий, так і полярний."
4,4,олень,"парнокопитні, які зазвичай мешкають у лісах. Відмінною рисою є їхні роги, які мають багато спільного з потужними гілками дерев."
5,4,страус,"двометровий птах, який має крила лише для краси. Але не обманюйте себе, це справжній жах на крилах ночі. Розвиває швидкість сильнішу, ніж більшість автомобілів. Дуже агресивна тварина. Дуже"
6,4,курка,"домашня птиця, майже не здатна літати. Його цінують за ніжне і нежирне м’ясо та здатність легко збирати яйця, які також є зручним джерелом білка."
7,4,пінгвін,"півметровий птах, який зустрічається переважно в Арктиці. Улюблена їжа морських левів. Насправді вони мають коліна."
8,4,сова,нічний птах. Справжній хижак. Полює на дрібних ссавців.
9,4,лебідь,"дуже красивий птах. Символ любові, одна з причин можливих теорій сучасного образу серця. Але все ж вони співають жахливо."
10,4,морквина,"корінь, зазвичай жовтий, але може бути і фіолетовим. Солодкий смак."
11,4,яблуко,"фрукти, багаті залізом. Поки він не дозріє, він має високий вміст крохмалю. Він виробляє чутки, що, закривши ніс і очі, яблуко не відрізняється смаком від картоплі. Це не."
12,4,банан,"жертва нещадного відбору. її їстівна частина збільшена вдесятеро, і всі кістки для продовження роду були видалені доброю рукою людини століття тому. Улюблена їжа космонавтів."
13,4,картопля,"корінь з високим вмістом крохмалю та енергетичною цінністю. Її батьківщиною вважається Південна Америка, але це не так."
14,4,лимон,"дуже кислий цитрусовий фрукт, має високий вміст вітаміну С. Багато людей люблять заварювати чай з ним або з його шкіркою."
15,5,кінь,"копитний, на якому людина здатна швидко пересуватися"
16,5,зебра,"тварина, яка нагадує коня, має білі та чорні смуги."
17,5,корова,"копитний з вим’ям, мукає і дає молоко"
18,5,ведмідь,"лісовий всеїдний, який любить мед, може лазити по деревах і володіє великою силою"
19,5,олень,лісова тварина з рогами
20,5,страус,"птах, який відкладає великі яйця і ховає голову в пісок"
21,5,курка,"домашня птиця, яка насиджує яйця"
22,5,пінгвін,"птах, місце проживання якого знаходиться в холодних регіонах. Плаває, але не літає"
23,5,сова,"нічний птах, який харчується гризунами і здатний обертати голову на 360 градусів"
24,5,лебідь,"білий птах, символ любові. У дитинстві у нього сіре оперення"
25,5,морквина,"подовжений помаранчевий овоч, який зайці люблять"
26,5,яблуко,"дуже популярний круглий плід, який росте в різних кліматичних умовах і залежно від сорту може бути різного кольору, що підтверджує його зрілість"
27,5,банан,"тропічні фрукти у вигляді жовтої дуги, що ростуть на пальмах"
28,5,картопля,"звичайний білоруський національний сільськогосподарський завод, який має круглі плоди, що ростуть з коренів"
29,5,лимон,цитрусові кислі фрукти жовтого кольору
30,6,кінь,"тварина, яка звикла котити вугілля в шахтах (замість ручної праці) в середині XIX століття"
31,6,зебра,"тварина, яка має цікавий смугастий чорно-білий колір, на відміну від коней, люди майже не використовують"
32,6,корова,"домашня тварина, зі шкіри якої роблять дуже привабливі підлогові покриття"
33,6,ведмідь,"дика хижа тварина, має інший колір шкіри, люди іноді приручають їх для виступу на цирковій арені"
34,6,олень,"дика тварина з великими рогами, на півночі їх використовують для катання на санках, також несуть Діда Мороза"
