,user,word,description
0,4,кінь,"Парнокопитна тварина, яка була однією з перших приручена людьми. До її переваг можна віднести швидкість, силу та витривалість."
1,4,зебра,"африканська тварина, зовнішній вигляд якої нагадує коней. Відмінною рисою є її забарвлення, яке складається з чорних та білих смуг."
2,4,корова,"вид парнокопитної худоби, основне використання  якої, переважно, у здобутті молока. Рідко використовується чисто заради м'яса."
3,4,ведмідь,"всеїдна велика тварина, яка має дуже сильний територіальний характер. В залежності від типу клімату, можна виділити як лісових так і полярних."
4,4,олень,"парнокопитна дика тварина, яка зазвичай проживає у лісах. Відмінною рисою є їх роги, які мають багато збіжного із потужними гілками дерев."
5,4,страус,"двометрова птаха, у якої крила тільки для краси. Але не обманюйте себе, це справжній жах на крилах ночі. Розвиває швидкість подужче більшості автомобілей. Дуже агресивна тварина. Дуже."
6,4,курка,"домашній птах, майже не вміє літати. Цінується через її ніжне та нежирне м'ясо, та можливість легко збирати яйця, які також є зручним джерелом білків."
7,4,пінгвін,"півметровий птах, який водиться переважно на Арктиці. Улюблена їжа морських левів. Насправді у них є коліна."
8,4,сова,нічний птах. Справжній хижак. Полює на маленьких ссавців.
9,4,лебідь,"дуже красива птаха. Символ кохання, один з причин можливих теорій виникнення сучасного зображення серця. Але все ж таки, вони жахливо співають."
10,4,морквина,"коренеплід, зазвичай жовтого кольору, але може бути і фіолетовою. Солодкувата на смак."
11,4,яблуко,"фрукт, багатий залізом. Доки не визріє, має великий зміст крохмалю. Є виробником слухів, що закривши ніс та очі, яблуко на смак не відрізняється від картоплі. Це не так."
12,4,банан,"жертва безжальної селекції. їстівна її частина була збільшена у десятки разів, а усі кісточки для продовження роду видалені ласкавою рукою людини століття тому. Улюблена їжа космонавтів."
13,4,картопля,"коренеплід з високим змістом крохмалю та енергетичною цінністю. Її батьківщиною вважається Південна Америка, але це не зовсім так."
14,4,лимон,"дуже кислий цитрусовий фрукт, має високий вміст вітаміну С. Багато хто полюбляє заварювати з ним чай, або з його цедрою."
15,5,кінь,"копитна тварина, на якій людина здатна швидко пересуватись"
16,5,зебра,"тварина, яка схожа на коня, має забарвлення в білу і чорну смуги."
17,5,корова,"копитна тварина з вим'ям, мичить і дає молоко"
18,5,ведмідь,"лісова всеїдна тварина, яка полюбляє мед, може лазити по деревам і має величезну силу"
19,5,олень,лісова тварина з рогами
20,5,страус,"птах, який виносить великі яйця і ховає голову в пісок"
21,5,курка,"домашня птиця, яка висиджує яйця"
22,5,пінгвін,"птах, ареал проживання якого знаходиться в холодних краях. Плаває, але не літає"
23,5,сова,"нічний птах, який харчується гризунами і здатен обертати голову на 360 градусів"
24,5,лебідь,"білий птах, символ кохання. В дитинстві має сіре оперення"
25,5,морквина,"помаранчевий овоч витягнутої форми, який полюбляють зайці"
26,5,яблуко,"дуже популярний круглий фрукт, який росте в різних кліматичних умовах і в залежності від сорту може бути різних кольорів, які підтверджують його зрілість"
27,5,банан,"тропічний фрукт у формі дуги жовтого кольору, росте на пальмах"
28,5,картопля,"поширена білоруська національна сільськогосподарська рослина, яка має плоди круглої форми, які ростуть з коріння"
29,5,лимон,цитрусовий кислий фрукт жовтого кольору
30,6,кінь,"тварина, яку використовували для відкатки вугілля в шахтах (замість ручної праці) в середині дев’ятнадцятого сторіччя"
31,6,зебра,"тварина, яка має цікавий смуглястий чорно-білий окрас, на відмінність від коней людьми майже не використовується"
32,6,корова,"домашня тварина, із шкури якої роблять дуже привабливі покриття для підлог"
33,6,ведмідь,"дика хижа тварина, має різний окрас шкіри, люди іноді приручають їх для виступу на манежі цирку"
34,6,олень,"дика тварина, яка має великі роги, на півночі їх використовують для їзди на санях, також возять Санта-Клауса"
35,6,страус,"велика птиця, яка не може літати, але дуже швидко бігає, іноді використовують для верхової їзди"
36,6,курка,"домашня птиця, яка майже не літає, кудахкає, використовується людьми в основному для їжі"
37,6,пінгвін,"птиця, яка не може літати, але дуже добре плаває та ниряє, по суші пересуваються перевальцем"
38,6,сова,"мудрий птах, який веде нічний образ життя, має великі очі, харчується гризунами, майже не приручається"
39,6,лебідь,"птах, який має довгу шию, поєднує у собі дві стихії - повітря і води, є птахом життя (білого кольору), і водночас може уособлювати смерть (чорного кольору)"
40,6,морквина,"овочева рослина, використовується в основному для їжі, багата кератином, іноді використовується як ніс сніговика"
41,6,яблуко,"фрукт, в основному круглої форми, різного кольору, різного розміру, для деяких це «заборонений плід»"
42,6,банан,"один із самих популярних та корисних фруктів, має цікаву форму, розмір та колір можуть дуже розрізнятися"
43,6,картопля,"коренеплід, який в основному використовується для їжі, дуже багатий крохмалем, виростає різних розмірів, листя цього куща дуже любить колорадський жук"
44,6,лимон,"плід жовтого кольору, багатий вітаміном С, приємний на смак, але дуже кислий, можна вирощувати в домашніх умовах"
45,7,кінь,"Тварина, яку підковують, має великі зуби."
46,7,зебра,"Кінь, в чорно-біло смугу."
47,7,корова,"Їсть траву, сіно, дає молоко, великих розмірів."
48,7,ведмідь,"Велика, хижа тварина, з великими гострими кігтями."
49,7,олень,"Травоїдна тварина, має великі закручені роги, живе у дикі природі."
50,7,страус,"Птах, який швидко бігає, має довгі ноги та шию."
51,7,курка,"Свійський птах, м'ясо якої найчастіше споживають."
52,7,пінгвін,"Птах, який не літає, а крила має."
53,7,сова,"Нічний хижий птах, з великими очима, коричневого кольору."
54,7,лебідь,"Гидке каченя, може літати, жовтий дзьоб, перебувають парами."
55,7,морквина,"Подовгуватий, оранжевий овоч, який росте в землі."
56,7,яблуко,"Зелене, червоне або жовте, кругле на вигляд, корисне для імунітету."
57,7,банан,"Жовтий, подовгастий фрукт, дієтичний та солодкий, без кісточок."
58,7,картопля,"Родина бобових, має кільця які проростають, росте в землі."
59,7,лимон,"Фрукт, кислий на смак, часто додають в чай в якості лікувального ефекту."
60,8,кінь,"Тварина, яку запрягають у віз, її силу прирівнюють до одиниць вимірювання міцності автомобілів."
61,8,зебра,"Тварина, яка має гриву, але не кінь."
62,8,корова,"Велика, рогата худоба."
63,8,ведмідь,"Впадає в сплячку взимку, любить мед."
64,8,олень,"Цим звіром нарікають людей, які чогось не розуміють."
65,8,страус,"Птах, який ховає голову в пісок."
66,8,курка,"Домашня птиця, літає погано і недалеко."
67,8,пінгвін,"Птах, який живе на північному полюсі, темно синього кольору з білим животом."
68,8,сова,"Птах, полює на дрібних гризунів, переважно вночі."
69,8,лебідь,"Красивий, білий птах, переважно перебуває у воді."
70,8,морквина,"Овоч, який дуже полюбляють зайці, конусної форми."
71,8,яблуко,"Кислий, солодкий із кісточками всередині, корисно їсти зі шкіркою."
72,8,банан,"Подовгуватий фрукт, який їдять в очищеному вигляді, без шкірки."
73,8,картопля,"Овоч, який споживають більшість людей, особливо в смаженому вигляді."
74,8,лимон,"Жовтий, овальний на вигляд фрукт."
75,9,кінь,"Парнокопитна тварина, одомашнена, допомагала людям в господарстві а також служила для швидшого пересування до винайдення машин"
