,user,word,description
0,4,кінь,"Копитний з пальцями на ногах, один з ранніх копитних, одомашнений людиною. До його переваг належать швидкість, сила та витривалість."
1,4,зебра,"Африканська тварина, що зовні нагадує коня. Його відмінною рисою є колір, який складається з чорно-білих смуг."
2,4,корова,"Копитний з пальцями на ногах, основне призначення яких - виробляти молоко. Рідко використовується для чистого м’яса."
3,4,ведмідь,"Всеїдна велика тварина, з сильними територіальними характеристиками. За типом клімату можна розрізнити ліси та полярні області."
4,4,олень,"Пальці копитних, зазвичай мешкають у лісі. Їхні роги є відмінною рисою, і вони мають багато спільного з потужними гілками."
5,4,страус,"Двометровий птах має лише красиві крила. Але не обманюйте себе, це жах, коли настає ніч. Розвивайте швидкість швидше, ніж більшість автомобілів. Дуже агресивна тварина. дуже."
6,4,курка,"Домашня птиця майже не вміє літати. Його цінують за ніжне і нежирне м’ясо та здатність легко збирати яйця, які також є зручним джерелом білка."
7,4,пінгвін,"Півметровий птах, в основному зустрічається в Арктиці Улюблена їжа морських левів. Насправді вони мають коліна."
8,4,сова,нічний. Справжній хижак. Полювання на дрібних ссавців.
9,4,лебідь,"Дуже гарний птах. Символ любові, одна з можливих теорій про сучасні образи у формі серця. Але вони все одно страшенно співали."
10,4,морквина,"Корінь зазвичай жовтий, але може бути і фіолетовим. Солодкий смак."
11,4,яблуко,"Плоди, багаті залізом. Поки не дозріває, він має високий вміст крохмалю. Він виробник чуток, він сказав, що, закривши ніс і очі, смак яблук і картоплі нічим не відрізняється. Це не."
12,4,банан,Жертви жорстокого вибору. Їстівна його частина зросла вдесятеро. Століття тому людські руки видалили всі кістки для розмноження. Улюблена їжа космонавтів.
13,4,картопля,"Корінь має високий вміст крохмалю та енергетичну цінність. Її батьківщиною вважається Південна Америка, але це не так."
14,4,лимон,"Дуже кислі цитрусові, що містять багато вітаміну С. Багато людей люблять готувати чай з чаєм або шкірками."
15,5,кінь,"Копитний, який може швидко пересуватися людиною"
16,5,зебра,"Ця тварина схожа на коня, з біло-чорними смугами."
17,5,корова,Копитні тварини з молочним запахом і молоком
